"","mn_amt"
"1",0.0263395555555556
"2",0.024534
"3",0.0243672592592593
"4",0.0179347407407407
"5",0.0309101153846154
"6",0.0225111153846154
"7",0.0278558461538462
"8",0.0261933461538462
"9",0.0269006153846154
"10",0.0271537692307692
"11",0.0219856538461538
"12",0.0202898461538462
"13",0.025461
"14",0.020597962962963
"15",0.0217392222222222
"16",0.0278419259259259
"17",0.0268148888888889
"18",0.0207528518518519
"19",0.0244610740740741
"20",0.0270804814814815
"21",0.0232435
"22",0.0243503846153846
"23",0.0233253076923077
"24",0.0198136153846154
"25",0.0289060384615385
"26",0.0313862307692308
"27",0.0317983333333333
"28",0.0290322962962963
"29",0.0256538518518519
"30",0.0293225555555556
"31",0.0335657407407407
"32",0.0277785185185185
"33",0.0297435925925926
"34",0.0272162222222222
"35",0.0200200740740741
"36",0.0307007407407407
"37",0.0272748518518519
"38",0.0214485925925926
"39",0.0250108148148148
"40",0.028554
"41",0.0295262592592593
"42",0.0274780740740741
"43",0.0249856923076923
"44",0.0297516153846154
"45",0.0232708076923077
"46",0.0307099230769231
"47",0.0299438461538462
"48",0.0269070769230769
"49",0.0278403846153846
"50",0.0326828888888889
"51",0.0267147307692308
"52",0.0247690740740741
"53",0.0278522592592593
"54",0.0304925384615385
"55",0.0272189230769231
"56",0.0303061538461538
"57",0.0292750740740741
"58",0.0309488518518519
"59",0.031501
"60",0.0269742692307692
"61",0.0367571111111111
"62",0.03144332
"63",0.0275521153846154
"64",0.0304981538461538
"65",0.0290893333333333
"66",0.0344448518518519
"67",0.0365718888888889
"68",0.036411
"69",0.0318556666666667
"70",0.0395602222222222
"71",0.0385697857142857
"72",0.0345520357142857
"73",0.0272145185185185
"74",0.0351367777777778
"75",0.0309613703703704
"76",0.0321380384615385
"77",0.0364678571428571
"78",0.0351010333333333
"79",0.0334890666666667
"80",0.0316824666666667
"81",0.0327373666666667
"82",0.0306970333333333
"83",0.027411
"84",0.0261201
"85",0.0190912333333333
"86",0.0277953
"87",0.0332798965517241
"88",0.0391324642857143
"89",0.0337144482758621
"90",0.0324133103448276
"91",0.0364321724137931
"92",0.03997265625
"93",0.03151203125
"94",0.03487696875
"95",0.0343073125
"96",0.0318856875
"97",0.0315449375
"98",0.03413890625
"99",0.03258775
"100",0.02773865625
"101",0.037243125
"102",0.03827084375
"103",0.0404440625
"104",0.03377575
"105",0.0364454375
"106",0.0389124193548387
"107",0.0353911290322581
"108",0.0424462580645161
"109",0.0379287096774194
"110",0.0351747096774194
"111",0.0341596129032258
"112",0.0359801935483871
"113",0.0321146875
"114",0.0321652903225806
"115",0.029533064516129
"116",0.032253935483871
"117",0.0298031290322581
"118",0.0366838125
"119",0.0373295
"120",0.03535159375
"121",0.03207803125
"122",0.034782625
"123",0.04370440625
"124",0.04911359375
"125",0.0411600625
"126",0.0345416774193548
"127",0.0408099375
"128",0.0474805
"129",0.039507875
"130",0.02852315625
"131",0.024776625
"132",0.03345009375
"133",0.03018890625
"134",0.03628075
"135",0.0393356875
"136",0.03339328125
"137",0.03342440625
"138",0.03129453125
"139",0.0278329375
"140",0.0309048125
"141",0.0377215
"142",0.0385159375
"143",0.03840290625
"144",0.0505216875
"145",0.04497
"146",0.038280625
"147",0.03390625
"148",0.0299585625
"149",0.0341551875
"150",0.031009875
"151",0.02342071875
"152",0.02137465625
"153",0.0182105
"154",0.02412815625
"155",0.029799875
"156",0.0283875
"157",0.028599375
"158",0.03693621875
"159",0.03535625
"160",0.03391228125
"161",0.03950946875
"162",0.0382161875
"163",0.03530775
"164",0.02930865625
"165",0.0310884375
"166",0.02531384375
"167",0.02326115625
"168",0.02440084375
"169",0.02973175
"170",0.0259405625
"171",0.02618753125
"172",0.0305248125
"173",0.0351644375
"174",0.03649725
"175",0.027872
"176",0.0273904375
"177",0.02741796875
"178",0.02670509375
"179",0.0222914193548387
"180",0.02243715625
"181",0.02867575
"182",0.0349835
"183",0.02505375
"184",0.0292995
"185",0.0301965625
"186",0.0331133125
"187",0.0327239375
"188",0.03190971875
"189",0.0235739677419355
"190",0.0233170625
"191",0.0274535
"192",0.0337811875
"193",0.03485546875
"194",0.035553375
"195",0.0296478709677419
"196",0.0242916774193548
"197",0.0256068709677419
"198",0.0335109375
"199",0.031273375
"200",0.037908875
"201",0.0330034375
"202",0.0301245625
"203",0.02522134375
